Datetime,Power_consumed,Power_consumed_normalized
2019-01-02,30.0,0.72027972027972
2019-01-03,30.1,0.7272727272727271
2019-01-04,30.1,0.7272727272727271
2019-01-05,30.2,0.7342657342657342
2019-01-06,31.0,0.79020979020979
2019-01-07,30.1,0.7272727272727271
2019-01-08,29.2,0.6643356643356642
2019-01-09,25.3,0.39160839160839167
2019-01-10,26.5,0.4755244755244754
2019-01-11,23.9,0.29370629370629353
2019-01-12,26.4,0.4685314685314683
2019-01-13,26.4,0.4685314685314683
2019-01-14,26.9,0.5034965034965033
2019-01-15,25.6,0.4125874125874125
2019-01-16,29.4,0.6783216783216779
2019-01-17,29.8,0.7062937062937062
2019-01-18,27.9,0.5734265734265731
2019-01-19,28.7,0.6293706293706292
2019-01-20,28.1,0.5874125874125875
2019-01-21,28.8,0.6363636363636362
2019-01-22,26.5,0.4755244755244754
2019-01-23,27.3,0.5314685314685315
2019-01-24,27.6,0.5524475524475525
2019-01-25,25.7,0.41958041958041936
2019-01-26,26.2,0.45454545454545436
2019-01-27,27.0,0.5104895104895104
2019-01-28,26.9,0.5034965034965033
2019-01-29,24.7,0.3496503496503496
2019-01-30,19.7,0.0
2019-01-31,19.7,0.0
2019-02-02,19.7,0.0
2019-02-03,19.7,0.0
2019-02-04,19.7,0.0
2019-02-05,19.7,0.0
2019-02-06,19.7,0.0
2019-02-07,19.7,0.0
2019-02-08,21.5,0.12587412587412583
2019-02-09,25.2,0.3846153846153846
2019-02-10,26.4,0.4685314685314683
2019-02-11,27.1,0.5174825174825175
2019-02-12,26.7,0.48951048951048937
2019-02-13,24.9,0.36363636363636354
2019-02-14,29.6,0.6923076923076921
2019-02-15,30.2,0.7342657342657342
2019-02-16,31.5,0.825174825174825
2019-02-17,30.9,0.7832167832167829
2019-02-18,30.4,0.7482517482517479
2019-02-19,29.8,0.7062937062937062
2019-02-20,27.4,0.5384615384615383
2019-02-21,28.9,0.6433566433566433
2019-02-22,29.4,0.6783216783216779
2019-02-23,29.2,0.6643356643356642
2019-02-24,30.3,0.7412587412587412
2019-02-25,30.5,0.755244755244755
2019-02-26,28.8,0.6363636363636362
2019-02-27,27.0,0.5104895104895104
2019-02-28,28.4,0.6083916083916081
2019-03-02,28.6,0.6223776223776223
2019-03-03,29.2,0.6643356643356642
2019-03-04,30.8,0.7762237762237763
2019-03-05,31.8,0.8461538461538463
2019-03-06,30.8,0.7762237762237763
2019-03-07,27.7,0.5594405594405594
2019-03-08,28.7,0.6293706293706292
2019-03-09,29.4,0.6783216783216779
2019-03-10,30.0,0.72027972027972
2019-03-11,30.7,0.7692307692307692
2019-03-12,29.8,0.7062937062937062
2019-03-13,31.5,0.825174825174825
2019-03-14,27.7,0.5594405594405594
2019-03-15,19.7,0.0
2019-03-16,19.7,0.0
2019-03-17,19.7,0.0
2019-03-18,19.7,0.0
2019-03-19,19.7,0.0
2019-03-20,19.7,0.0
2019-03-21,19.7,0.0
2019-03-22,27.9,0.5734265734265731
2019-03-23,28.4,0.6083916083916081
2019-03-24,28.6,0.6223776223776223
2019-03-25,28.2,0.5944055944055942
2019-03-26,29.2,0.6643356643356642
2019-03-27,29.1,0.6573426573426575
2019-03-28,25.8,0.42657342657342645
2019-03-29,26.9,0.5034965034965033
2019-03-30,26.2,0.45454545454545436
2019-03-31,26.7,0.48951048951048937
2019-04-02,25.5,0.4055944055944054
2019-04-03,25.6,0.4125874125874125
2019-04-04,25.1,0.3776223776223777
2019-04-05,23.1,0.2377622377622377
2019-04-06,28.6,0.6223776223776223
2019-04-07,29.8,0.7062937062937062
2019-04-08,30.8,0.7762237762237763
2019-04-09,30.8,0.7762237762237763
2019-04-10,29.5,0.685314685314685
2019-04-11,30.4,0.7482517482517479
2019-04-12,26.9,0.5034965034965033
2019-04-13,28.7,0.6293706293706292
2019-04-14,29.1,0.6573426573426575
2019-04-15,30.8,0.7762237762237763
2019-04-16,31.3,0.8111888111888113
2019-04-17,31.7,0.8391608391608392
2019-04-18,31.5,0.825174825174825
2019-04-19,28.5,0.6153846153846152
2019-04-20,27.5,0.5454545454545454
2019-04-21,28.9,0.6433566433566433
2019-04-22,29.2,0.6643356643356642
2019-04-23,29.1,0.6573426573426575
2019-04-24,28.8,0.6363636363636362
2019-04-25,27.9,0.5734265734265731
2019-04-26,25.0,0.3706293706293706
2019-04-27,30.0,0.72027972027972
2019-04-28,30.4,0.7482517482517479
2019-04-29,30.0,0.72027972027972
2019-04-30,30.6,0.7622377622377621
2019-05-02,30.4,0.7482517482517479
2019-05-03,30.0,0.72027972027972
2019-05-04,27.5,0.5454545454545454
2019-05-05,29.2,0.6643356643356642
2019-05-06,29.8,0.7062937062937062
2019-05-07,30.7,0.7692307692307692
2019-05-08,29.4,0.6783216783216779
2019-05-09,28.7,0.6293706293706292
2019-05-10,27.3,0.5314685314685315
2019-05-11,24.5,0.3356643356643356
2019-05-12,30.7,0.7692307692307692
2019-05-13,30.4,0.7482517482517479
2019-05-14,32.0,0.86013986013986
2019-05-15,29.5,0.685314685314685
2019-05-16,29.5,0.685314685314685
2019-05-17,28.9,0.6433566433566433
2019-05-18,26.3,0.46153846153846145
2019-05-19,25.4,0.3986013986013983
2019-05-20,26.0,0.4405594405594404
2019-05-21,24.8,0.35664335664335667
2019-05-22,25.4,0.3986013986013983
2019-05-23,27.5,0.5454545454545454
2019-05-24,28.1,0.5874125874125875
2019-05-25,25.7,0.41958041958041936
2019-05-26,19.7,0.0
2019-05-27,20.5,0.055944055944055826
2019-05-28,19.7,0.0
2019-05-29,19.7,0.0
2019-05-30,19.7,0.0
2019-05-31,19.7,0.0
2019-06-02,19.7,0.0
2019-06-03,26.6,0.4825174825174825
2019-06-04,27.2,0.5244755244755244
2019-06-05,27.8,0.5664335664335665
2019-06-06,27.4,0.5384615384615383
2019-06-07,27.6,0.5524475524475525
2019-06-08,25.2,0.3846153846153846
2019-06-09,19.7,0.0
2019-06-10,29.0,0.6503496503496504
2019-06-11,27.7,0.5594405594405594
2019-06-12,29.3,0.6713286713286712
2019-06-13,29.8,0.7062937062937062
2019-06-14,29.9,0.7132867132867129
2019-06-15,25.5,0.4055944055944054
2019-06-16,26.9,0.5034965034965033
2019-06-17,27.9,0.5734265734265731
2019-06-18,29.2,0.6643356643356642
2019-06-19,19.7,0.0
2019-06-20,29.4,0.6783216783216779
2019-06-21,28.8,0.6363636363636362
2019-06-22,29.1,0.6573426573426575
2019-06-23,26.6,0.4825174825174825
2019-06-24,32.2,0.8741258741258742
2019-06-25,32.8,0.9160839160839158
2019-06-26,31.3,0.8111888111888113
2019-06-27,31.6,0.8321678321678321
2019-06-28,32.1,0.8671328671328671
2019-06-29,30.1,0.7272727272727271
2019-06-30,26.6,0.4825174825174825
2019-07-01,24.2,0.3146853146853146
2019-07-02,25.7,0.41958041958041936
2019-07-03,26.7,0.48951048951048937
2019-07-04,27.5,0.5454545454545454
2019-07-05,29.7,0.6993006993006992
2019-07-06,28.7,0.6293706293706292
2019-07-07,25.6,0.4125874125874125
2019-07-08,19.7,0.0
2019-07-09,19.7,0.0
2019-07-10,19.7,0.0
2019-07-11,27.3,0.5314685314685315
2019-07-12,27.4,0.5384615384615383
2019-07-13,27.9,0.5734265734265731
2019-07-14,27.3,0.5314685314685315
2019-07-15,28.2,0.5944055944055942
2019-07-16,25.7,0.41958041958041936
2019-07-17,26.6,0.4825174825174825
2019-07-18,26.9,0.5034965034965033
2019-07-19,26.4,0.4685314685314683
2019-07-20,19.7,0.0
2019-07-21,21.7,0.1398601398601398
2019-07-22,25.5,0.4055944055944054
2019-07-23,24.6,0.3426573426573427
2019-07-24,29.0,0.6503496503496504
2019-07-25,27.3,0.5314685314685315
2019-07-26,29.0,0.6503496503496504
2019-07-27,30.8,0.7762237762237763
2019-07-28,27.5,0.5454545454545454
2019-07-29,28.3,0.6013986013986012
2019-07-30,24.7,0.3496503496503496
2019-07-31,29.0,0.6503496503496504
2019-08-01,29.4,0.6783216783216779
2019-08-02,29.6,0.6923076923076921
2019-08-03,29.8,0.7062937062937062
2019-08-04,30.1,0.7272727272727271
2019-08-05,30.4,0.7482517482517479
2019-08-06,28.2,0.5944055944055942
2019-08-08,20.6,0.06293706293706292
2019-08-09,22.4,0.18881118881118875
2019-08-10,23.6,0.2727272727272727
2019-08-11,23.8,0.28671328671328666
2019-08-12,24.3,0.32167832167832167
2019-08-13,24.8,0.35664335664335667
2019-08-14,24.1,0.3076923076923077
2019-08-15,27.0,0.5104895104895104
2019-08-16,26.9,0.5034965034965033
2019-08-17,28.0,0.5804195804195804
2019-08-18,26.9,0.5034965034965033
2019-08-19,26.2,0.45454545454545436
2019-08-20,26.8,0.49650349650349646
2019-08-21,25.8,0.42657342657342645
2019-08-22,29.7,0.6993006993006992
2019-08-23,30.0,0.72027972027972
2019-08-24,31.5,0.825174825174825
2019-08-25,31.1,0.7972027972027971
2019-08-26,30.4,0.7482517482517479
2019-08-27,30.3,0.7412587412587412
2019-08-28,28.2,0.5944055944055942
2019-08-29,29.6,0.6923076923076921
2019-08-30,30.0,0.72027972027972
2019-08-31,31.5,0.825174825174825
2019-09-01,30.5,0.755244755244755
2019-09-02,29.8,0.7062937062937062
2019-09-03,31.0,0.79020979020979
2019-09-04,27.0,0.5104895104895104
2019-09-05,24.6,0.3426573426573427
2019-09-06,24.1,0.3076923076923077
2019-09-08,24.7,0.3496503496503496
2019-09-09,24.7,0.3496503496503496
2019-09-10,21.5,0.12587412587412583
2019-09-11,21.1,0.09790209790209792
2019-09-12,28.3,0.6013986013986012
2019-09-13,28.3,0.6013986013986012
2019-09-14,29.1,0.6573426573426575
2019-09-15,29.3,0.6713286713286712
2019-09-16,29.5,0.685314685314685
2019-09-17,30.3,0.7412587412587412
2019-09-18,28.0,0.5804195804195804
2019-09-19,23.2,0.24475524475524457
2019-09-20,25.3,0.39160839160839167
2019-09-21,26.0,0.4405594405594404
2019-09-22,25.8,0.42657342657342645
2019-09-23,26.6,0.4825174825174825
2019-09-24,26.1,0.4475524475524475
2019-09-25,22.5,0.19580419580419584
2019-09-26,27.4,0.5384615384615383
2019-09-27,26.8,0.49650349650349646
2019-09-28,28.1,0.5874125874125875
2019-09-29,28.1,0.5874125874125875
2019-09-30,28.1,0.5874125874125875
2019-10-01,27.8,0.5664335664335665
2019-10-02,23.7,0.2797202797202796
2019-10-03,28.5,0.6153846153846152
2019-10-04,25.8,0.42657342657342645
2019-10-05,30.3,0.7412587412587412
2019-10-06,29.7,0.6993006993006992
2019-10-08,29.9,0.7132867132867129
2019-10-09,29.3,0.6713286713286712
2019-10-10,25.3,0.39160839160839167
2019-10-11,27.7,0.5594405594405594
2019-10-12,28.0,0.5804195804195804
2019-10-13,29.6,0.6923076923076921
2019-10-14,28.2,0.5944055944055942
2019-10-15,28.2,0.5944055944055942
2019-10-16,27.2,0.5244755244755244
2019-10-17,23.7,0.2797202797202796
2019-10-18,28.4,0.6083916083916081
2019-10-19,28.7,0.6293706293706292
2019-10-20,30.7,0.7692307692307692
2019-10-21,31.1,0.7972027972027971
2019-10-22,31.1,0.7972027972027971
2019-10-23,31.3,0.8111888111888113
2019-10-24,28.7,0.6293706293706292
2019-10-25,29.1,0.6573426573426575
2019-10-26,29.6,0.6923076923076921
2019-10-27,29.4,0.6783216783216779
2019-10-28,22.8,0.21678321678321666
2019-10-29,26.6,0.4825174825174825
2019-10-30,29.6,0.6923076923076921
2019-10-31,34.0,1.0
2019-11-01,19.7,0.0
2019-11-02,19.7,0.0
2019-11-03,19.7,0.0
2019-11-04,19.7,0.0
2019-11-05,19.7,0.0
2019-11-06,19.7,0.0
2019-11-08,19.7,0.0
2019-11-09,27.3,0.5314685314685315
2019-11-10,26.8,0.49650349650349646
2019-11-11,27.9,0.5734265734265731
2019-11-12,28.5,0.6153846153846152
2019-11-13,27.8,0.5664335664335665
2019-11-14,27.6,0.5524475524475525
2019-11-15,25.3,0.39160839160839167
2019-11-16,28.1,0.5874125874125875
2019-11-17,28.1,0.5874125874125875
2019-11-18,29.9,0.7132867132867129
